food_id,name,category,calories,fiber_g,sugar_g,protein_g,sodium_mg,carbs_g
1,White bread,Grains,265,2.7,5.0,9.0,491,49.0
2,"White rice, cooked",Grains,130,0.4,0.1,2.7,1,28.0
3,"Regular pasta, cooked",Grains,158,1.8,0.6,5.8,1,31.0
4,Instant ramen noodles,Grains,436,2.0,2.0,10.0,1731,62.0
5,Frosted corn flakes cereal,Grains,375,1.0,37.0,4.0,460,88.0
6,Plain bagel,Grains,250,2.0,5.0,10.0,460,49.0
7,"Pancakes, from mix",Grains,227,1.4,6.0,6.0,439,28.0
8,Butter croissant,Grains,406,2.6,8.0,8.0,447,46.0
9,Flour tortilla,Grains,304,2.7,2.0,8.0,641,51.0
10,Whole wheat bread,Grains,247,6.8,6.0,13.0,400,41.0
11,"Brown rice, cooked",Grains,112,1.8,0.2,2.6,5,24.0
12,"Whole wheat pasta, cooked",Grains,124,3.9,0.8,5.3,4,26.0
13,"Quinoa, cooked",Grains,120,2.8,0.9,4.4,7,21.0
14,"Whole grain noodle soup, low sodium broth",Grains,190,3.0,1.0,8.0,380,34.0
15,Bran flakes cereal,Grains,320,18.0,12.0,9.0,590,81.0
16,Whole wheat bagel,Grains,245,5.0,5.0,10.0,430,47.0
17,Whole wheat pancakes,Grains,178,3.0,4.0,7.0,380,22.0
18,Whole grain English muffin,Grains,155,4.4,2.0,6.0,320,30.0
19,Whole wheat tortilla,Grains,250,6.0,1.0,8.0,380,42.0
20,Whole milk,Dairy,61,0.0,5.0,3.2,40,4.8
21,Vanilla ice cream,Dairy,207,0.7,21.0,3.5,80,24.0
22,Sour cream,Dairy,193,0.0,2.9,2.4,47,4.6
23,Cream cheese,Dairy,342,0.0,3.2,6.0,321,4.0
24,American cheese slices,Dairy,375,0.0,6.0,18.0,1560,8.0
25,Sweetened whole milk yogurt,Dairy,122,0.0,17.0,5.0,70,19.0
26,Skim milk,Dairy,34,0.0,5.0,3.4,42,5.0
27,Low-fat frozen yogurt,Dairy,127,0.0,21.0,3.0,63,24.0
28,Plain nonfat Greek yogurt,Dairy,59,0.0,3.6,10.0,36,3.6
29,Light cream cheese,Dairy,220,0.0,4.0,8.0,380,6.0
30,Reduced-sodium Swiss cheese,Dairy,380,0.0,1.0,27.0,710,5.0
31,Ground beef (80/20),Protein,254,0.0,0.0,17.0,75,0.0
32,Bacon,Protein,541,0.0,0.0,37.0,1717,1.4
33,Breaded fried chicken,Protein,246,0.5,0.8,19.0,480,8.0
34,Hot dog,Protein,290,0.0,2.0,10.0,970,4.0
35,"Deli ham, processed",Protein,145,0.0,1.6,18.0,1200,2.0
36,Salami,Protein,336,0.0,0.3,22.0,1890,1.6
37,Regular pork sausage,Protein,301,0.0,1.0,12.0,890,3.0
38,Ground turkey (93/7),Protein,176,0.0,0.0,20.0,70,0.0
